ProductID,ProductName,Category,Material,Color,Price,Rating,Weight,ImageURL,StockQuantity,Brand
1,Wood Cabinet,Bedroom,Fabric,Yellow,985.27,3.1,5.9,http://example.com/image1.jpg,93,Restoration Hardware
2,Glass Wardrobe,Living Room,Wood,Yellow,1947.05,3.9,90.9,http://example.com/image2.jpg,59,Ashley Furniture
3,Plastic Shelf,Office,Metal,Blue,59.49,1.2,127.9,http://example.com/image3.jpg,43,Wayfair
4,Wood Wardrobe,Outdoor,Fabric,Transparent,854.72,4.6,56.8,http://example.com/image4.jpg,4,Pottery Barn
5,Metal Stool,Outdoor,Fabric,Blue,245.89,3.8,20.7,http://example.com/image5.jpg,5,IKEA
6,Plastic Dining Table,Living Room,Wood,Transparent,1042.86,1.9,66.0,http://example.com/image6.jpg,68,Pottery Barn
7,Fabric Sofa,Living Room,Metal,White,98.11,1.7,110.4,http://example.com/image7.jpg,45,West Elm
8,Glass Bed,Living Room,Glass,Red,843.45,2.7,20.6,http://example.com/image8.jpg,80,IKEA
9,Glass Cabinet,Office,Plastic,Transparent,480.36,4.3,34.9,http://example.com/image9.jpg,25,West Elm
10,Metal Stool,Bedroom,Metal,Red,1089.95,4.4,26.4,http://example.com/image10.jpg,78,Restoration Hardware
11,Wood Sofa,Living Room,Leather,Transparent,1992.19,3.1,120.6,http://example.com/image11.jpg,11,Wayfair
12,Glass Wardrobe,Living Room,Fabric,Yellow,1611.05,4.4,14.1,http://example.com/image12.jpg,29,Ashley Furniture
13,Fabric Shelf,Dining Room,Leather,Black,1699.0,1.0,104.6,http://example.com/image13.jpg,34,Pottery Barn
14,Leather Stool,Office,Glass,White,1288.77,1.1,58.1,http://example.com/image14.jpg,86,West Elm
15,Fabric Shelf,Living Room,Leather,Brown,131.04,4.6,114.6,http://example.com/image15.jpg,14,Wayfair
16,Leather Desk,Dining Room,Metal,Red,453.26,4.1,144.8,http://example.com/image16.jpg,24,Pottery Barn
17,Fabric Cabinet,Outdoor,Leather,Brown,1853.88,2.8,21.6,http://example.com/image17.jpg,59,Pottery Barn
